Mutant;ALL;Jaccard
e_acos.mut.86.1_3_17.ABS.__ieee754_acos;1;1
e_acos.mut.86.1_30_36.AOR.__ieee754_acos;1;1
e_acos.mut.86.1_4_21.ABS.__ieee754_acos;1;1
e_acos.mut.86.1_5_17.AOD.__ieee754_acos;1;1
e_acos.mut.86.1_5_24.ABS.__ieee754_acos;1;1
e_acos.mut.86.1_6_15.AOR.__ieee754_acos;1;1
e_acos.mut.86.1_6_28.ABS.__ieee754_acos;1;1
e_acos.mut.86.1_7_21.AOD.__ieee754_acos;1;1
e_acos.mut.86.1_7_31.ABS.__ieee754_acos;1;1
e_acos.mut.86.1_8_35.ABS.__ieee754_acos;1;1
e_acos.mut.86.1_9_24.AOD.__ieee754_acos;1;1
e_acos.mut.86.1_9_37.ABS.__ieee754_acos;1;1
e_acos.mut.86.2_10_27.AOD.__ieee754_acos;1;1
e_acos.mut.86.2_11_20.AOR.__ieee754_acos;1;1
e_acos.mut.86.2_12_29.AOD.__ieee754_acos;1;1
e_acos.mut.86.2_14_34.AOD.__ieee754_acos;1;1
e_acos.mut.86.2_15_22.AOR.__ieee754_acos;1;1
e_acos.mut.86.2_16_36.AOD.__ieee754_acos;1;1
e_acos.mut.86.2_19_27.AOR.__ieee754_acos;1;1
e_acos.mut.86.2_2_13.AOD.__ieee754_acos;1;1
e_acos.mut.86.2_23_29.AOR.__ieee754_acos;1;1
e_acos.mut.86.2_27_34.AOR.__ieee754_acos;1;1
e_acos.mut.86.2_3_13.AOR.__ieee754_acos;1;1
e_acos.mut.86.2_31_36.AOR.__ieee754_acos;1;1
e_acos.mut.86.2_4_15.AOD.__ieee754_acos;1;1
e_acos.mut.86.2_6_20.AOD.__ieee754_acos;1;1
e_acos.mut.86.2_7_15.AOR.__ieee754_acos;1;1
e_acos.mut.86.2_8_22.AOD.__ieee754_acos;1;1
e_acos.mut.86.3_10_20.AOR.__ieee754_acos;1;1
e_acos.mut.86.3_18_27.AOR.__ieee754_acos;1;1
e_acos.mut.86.3_26_34.AOR.__ieee754_acos;1;1
e_acos.mut.86.4_12_20.AOR.__ieee754_acos;1;1
e_acos.mut.86.4_16_22.AOR.__ieee754_acos;1;1
e_acos.mut.86.4_20_27.AOR.__ieee754_acos;1;1
e_acos.mut.86.4_24_29.AOR.__ieee754_acos;1;1
e_acos.mut.86.4_28_34.AOR.__ieee754_acos;1;1
e_acos.mut.86.4_32_36.AOR.__ieee754_acos;1;1
e_acos.mut.86.4_4_13.AOR.__ieee754_acos;1;1
e_acos.mut.86.4_8_15.AOR.__ieee754_acos;1;1
e_acos.mut.87.1_1_10.ABS.__ieee754_acos;1;1
e_acos.mut.87.1_1_10.AOD.__ieee754_acos;1;1
e_acos.mut.87.1_1_6.SDL.__ieee754_acos;1;1
e_acos.mut.87.1_2_12.ABS.__ieee754_acos;1;1
e_acos.mut.87.1_3_11.AOR.__ieee754_acos;1;1
e_acos.mut.87.2_2_11.AOD.__ieee754_acos;1;1
e_acos.mut.87.2_4_11.AOR.__ieee754_acos;1;1
e_acos.mut.87.3_2_11.AOR.__ieee754_acos;1;1
e_acos.mut.88.1_1_13.ABS.__ieee754_acos;1;1
e_acos.mut.88.1_1_13.AOD.__ieee754_acos;1;1
e_acos.mut.88.1_1_6.SDL.__ieee754_acos;1;1
e_acos.mut.88.1_11_36.AOR.__ieee754_acos;1;1
