Mutant;ALL;Jaccard
byteorder.mut.270.3_1_25.UOI.gs_bswap_16;1;1
byteorder.mut.270.3_11_44.ICR.gs_bswap_16;1;1
byteorder.mut.270.4_8_44.ICR.gs_bswap_16;1;1
byteorder.mut.270.5_9_44.ICR.gs_bswap_16;1;1
byteorder.mut.270.6_3_47.LCR.gs_bswap_16;1;1
byteorder.mut.270.7_2_31.LCR.gs_bswap_16;1;1
byteorder.mut.270.8_1_31.LCR.gs_bswap_16;1;1
byteorder.mut.271.1_1_24.SOD.gs_bswap_16;1;1
byteorder.mut.271.1_1_25.BOD.gs_bswap_16;1;1
byteorder.mut.271.1_12_44.ICR.gs_bswap_16;1;1
byteorder.mut.271.1_2_25.UOI.gs_bswap_16;1;1
byteorder.mut.271.2_7_44.ICR.gs_bswap_16;1;1
byteorder.mut.271.3_1_25.UOI.gs_bswap_16;1;1
byteorder.mut.271.3_11_44.ICR.gs_bswap_16;1;1
byteorder.mut.271.4_8_44.ICR.gs_bswap_16;1;1
byteorder.mut.271.5_9_44.ICR.gs_bswap_16;1;1
byteorder.mut.271.6_10_44.ICR.gs_bswap_16;1;1
byteorder.mut.271.8_1_31.LCR.gs_bswap_16;1;1
byteorder.mut.28.1_1_13.BOD.util_hton32;1;1
byteorder.mut.28.1_1_14.SOD.util_hton32;1;1
byteorder.mut.28.1_1_5.SDL.util_hton32;1;1
byteorder.mut.28.1_12_36.ICR.util_hton32;1;1
byteorder.mut.28.1_2_15.UOI.util_hton32;1;1
byteorder.mut.28.1_4_15.BOD.util_hton32;1;1
byteorder.mut.28.2_4_15.UOI.util_hton32;1;1
byteorder.mut.28.2_6_40.BOD.util_hton32;1;1
byteorder.mut.28.2_7_36.ICR.util_hton32;1;1
byteorder.mut.28.3_1_15.UOI.util_hton32;1;1
byteorder.mut.28.4_3_15.UOI.util_hton32;1;1
byteorder.mut.28.4_8_36.ICR.util_hton32;1;1
byteorder.mut.28.5_9_36.ICR.util_hton32;1;1
byteorder.mut.28.6_3_40.LCR.util_hton32;1;1
byteorder.mut.28.7_2_19.LCR.util_hton32;1;1
byteorder.mut.28.8_1_19.LCR.util_hton32;1;1
byteorder.mut.28.8_4_40.LCR.util_hton32;0;0
byteorder.mut.281.1_1_13.BOD.gs_bswap_32;1;1
byteorder.mut.281.1_1_14.SOD.gs_bswap_32;1;1
byteorder.mut.281.1_1_5.SDL.gs_bswap_32;1;1
byteorder.mut.281.1_12_38.ICR.gs_bswap_32;1;1
byteorder.mut.281.1_2_15.UOI.gs_bswap_32;1;1
byteorder.mut.281.1_4_15.BOD.gs_bswap_32;1;1
byteorder.mut.281.2_2_35.SOD.gs_bswap_32;1;1
byteorder.mut.281.2_4_15.UOI.gs_bswap_32;1;1
byteorder.mut.281.2_7_38.ICR.gs_bswap_32;1;1
byteorder.mut.281.3_1_15.UOI.gs_bswap_32;1;1
byteorder.mut.281.4_3_15.UOI.gs_bswap_32;1;1
byteorder.mut.281.4_8_38.ICR.gs_bswap_32;1;1
byteorder.mut.281.5_9_38.ICR.gs_bswap_32;1;1
byteorder.mut.281.6_10_38.ICR.gs_bswap_32;1;1
byteorder.mut.281.6_3_42.LCR.gs_bswap_32;1;1
byteorder.mut.281.7_2_21.LCR.gs_bswap_32;1;1
byteorder.mut.281.8_1_21.LCR.gs_bswap_32;1;1
byteorder.mut.281.8_4_42.LCR.gs_bswap_32;0;0
byteorder.mut.282.1_1_14.SOD.gs_bswap_32;1;1
byteorder.mut.282.1_1_15.BOD.gs_bswap_32;1;1
byteorder.mut.282.1_12_38.ICR.gs_bswap_32;1;1
byteorder.mut.282.2_3_42.BOD.gs_bswap_32;1;1
byteorder.mut.282.2_4_15.UOI.gs_bswap_32;0;0
byteorder.mut.282.2_7_38.ICR.gs_bswap_32;1;1
byteorder.mut.282.4_3_15.UOI.gs_bswap_32;0;0
byteorder.mut.282.4_8_38.ICR.gs_bswap_32;1;1
byteorder.mut.282.5_9_38.ICR.gs_bswap_32;1;1
