MUTANT,TEST,CONFIGURATION,RESULT,FaultModel,DataItem,Span,Type,FaultClass,Min,Max,Threshold,Delta,State,Value
15,i2c,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
15,log,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
15,param3,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
15,param4,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
15,rparam3,CONFIGURED,FAILED,SET,2,1,LONG,SS,u,u,u,1,u,u
15,rparam4,CONFIGURED,FAILED,SET,2,1,LONG,SS,u,u,u,1,u,u
15,serialize,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
15,spi,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
15,store,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
15,store_load,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
15,vmem_store_checksum_first,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
15,vmem_store_checksum_last,CONFIGURED,PASSED,SET,2,1,LONG,SS,u,u,u,1,u,u
16,bindings,CONFIGURED,PASSED,SET,2,1,LONG,IV,u,u,u,u,u,0
16,example,CONFIGURED,PASSED,SET,2,1,LONG,IV,u,u,u,u,u,0
16,file_store,CONFIGURED,PASSED,SET,2,1,LONG,IV,u,u,u,u,u,0
16,i2c,CONFIGURED,PASSED,SET,2,1,LONG,IV,u,u,u,u,u,0
16,log,CONFIGURED,PASSED,SET,2,1,LONG,IV,u,u,u,u,u,0
16,param3,CONFIGURED,PASSED,SET,2,1,LONG,IV,u,u,u,u,u,0
16,param4,CONFIGURED,PASSED,SET,2,1,LONG,IV,u,u,u,u,u,0
16,rparam3,CONFIGURED,FAILED,SET,2,1,LONG,IV,u,u,u,u,u,0
16,rparam4,CONFIGURED,FAILED,SET,2,1,LONG,IV,u,u,u,u,u,0
16,serialize,CONFIGURED,PASSED,SET,2,1,LONG,IV,u,u,u,u,u,0
16,spi,CONFIGURED,PASSED,SET,2,1,LONG,IV,u,u,u,u,u,0
16,store,CONFIGURED,PASSED,SET,2,1,LONG,IV,u,u,u,u,u,0
16,store_load,CONFIGURED,PASSED,SET,2,1,LONG,IV,u,u,u,u,u,0
16,vmem_store_checksum_first,CONFIGURED,PASSED,SET,2,1,LONG,IV,u,u,u,u,u,0
16,vmem_store_checksum_last,CONFIGURED,PASSED,SET,2,1,LONG,IV,u,u,u,u,u,0
17,bindings,CONFIGURED,PASSED,SET,2,1,LONG,VAT,u,u,180,1,u,u
17,example,CONFIGURED,PASSED,SET,2,1,LONG,VAT,u,u,180,1,u,u
17,file_store,CONFIGURED,PASSED,SET,2,1,LONG,VAT,u,u,180,1,u,u
17,i2c,CONFIGURED,PASSED,SET,2,1,LONG,VAT,u,u,180,1,u,u
17,log,CONFIGURED,PASSED,SET,2,1,LONG,VAT,u,u,180,1,u,u
17,param3,CONFIGURED,PASSED,SET,2,1,LONG,VAT,u,u,180,1,u,u
17,param4,CONFIGURED,PASSED,SET,2,1,LONG,VAT,u,u,180,1,u,u
17,rparam3,CONFIGURED,FAILED,SET,2,1,LONG,VAT,u,u,180,1,u,u
17,rparam4,CONFIGURED,FAILED,SET,2,1,LONG,VAT,u,u,180,1,u,u
17,serialize,CONFIGURED,PASSED,SET,2,1,LONG,VAT,u,u,180,1,u,u
17,spi,CONFIGURED,PASSED,SET,2,1,LONG,VAT,u,u,180,1,u,u
17,store,CONFIGURED,PASSED,SET,2,1,LONG,VAT,u,u,180,1,u,u
17,store_load,CONFIGURED,PASSED,SET,2,1,LONG,VAT,u,u,180,1,u,u
17,vmem_store_checksum_first,CONFIGURED,PASSED,SET,2,1,LONG,VAT,u,u,180,1,u,u
17,vmem_store_checksum_last,CONFIGURED,PASSED,SET,2,1,LONG,VAT,u,u,180,1,u,u
18,bindings,CONFIGURED,PASSED,SET,6,1,BIN,BF,0,7,u,u,-1,1
18,example,CONFIGURED,PASSED,SET,6,1,BIN,BF,0,7,u,u,-1,1
18,file_store,CONFIGURED,PASSED,SET,6,1,BIN,BF,0,7,u,u,-1,1
18,i2c,CONFIGURED,PASSED,SET,6,1,BIN,BF,0,7,u,u,-1,1
18,log,CONFIGURED,PASSED,SET,6,1,BIN,BF,0,7,u,u,-1,1
18,param3,CONFIGURED,PASSED,SET,6,1,BIN,BF,0,7,u,u,-1,1
18,param4,CONFIGURED,PASSED,SET,6,1,BIN,BF,0,7,u,u,-1,1
18,rparam3,CONFIGURED,FAILED,SET,6,1,BIN,BF,0,7,u,u,-1,1
18,rparam4,CONFIGURED,FAILED,SET,6,1,BIN,BF,0,7,u,u,-1,1
18,serialize,CONFIGURED,PASSED,SET,6,1,BIN,BF,0,7,u,u,-1,1
18,spi,CONFIGURED,PASSED,SET,6,1,BIN,BF,0,7,u,u,-1,1
18,store,CONFIGURED,PASSED,SET,6,1,BIN,BF,0,7,u,u,-1,1
18,store_load,CONFIGURED,PASSED,SET,6,1,BIN,BF,0,7,u,u,-1,1
18,vmem_store_checksum_first,CONFIGURED,PASSED,SET,6,1,BIN,BF,0,7,u,u,-1,1
18,vmem_store_checksum_last,CONFIGURED,PASSED,SET,6,1,BIN,BF,0,7,u,u,-1,1
19,bindings,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
19,example,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
19,file_store,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
19,i2c,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
19,log,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
19,param3,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
19,param4,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
19,rparam3,CONFIGURED,FAILED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
19,rparam4,CONFIGURED,FAILED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
19,serialize,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
19,spi,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
19,store,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
19,store_load,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
19,vmem_store_checksum_first,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
19,vmem_store_checksum_last,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
20,bindings,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
20,example,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
20,file_store,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
20,i2c,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
20,log,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
20,param3,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
20,param4,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
20,rparam3,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
20,rparam4,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
20,serialize,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
20,spi,CONFIGURED,PASSED,SAVE,2,1,LONG,SS,u,u,u,1,u,u
